date,demanda_energia,importacoes_petroleo,tarifa_energia_real,pib_real
1997-01-01,9455000.0,34.3,467.3775374394644,661215.6892824988
1997-02-01,9840000.0,40.08,450.90733514520167,603200.9659940116
1997-03-01,9488000.0,34.76,458.2264390291839,591156.2465694603
1997-04-01,9945000.0,33.11,458.3279138156926,613668.0442922383
1997-05-01,10304000.0,34.56,514.7551777294772,649538.8424147831
1997-06-01,10045000.0,31.71,518.9314060538958,670553.5035242324
1997-07-01,10285000.0,30.2,510.41951514932674,677015.3472768269
1997-08-01,10685000.0,27.46,506.23209535816665,677895.3833752214
1997-09-01,10441000.0,29.7,511.4795788414426,672727.8546775746
1997-10-01,10567000.0,31.44,509.6347841906161,713869.8552655284
1997-11-01,10727000.0,31.18,508.4971460772852,692526.6393972234
1997-12-01,9935000.0,32.08,489.83646457869474,654166.7936668764
1998-01-01,9545000.0,32.31,483.2215199264355,633666.2093084531
1998-02-01,9722000.0,27.06,483.6883940956791,605314.2129699897
1998-03-01,9609000.0,24.7,482.5784668150909,641203.3473762773
1998-04-01,10400000.0,21.95,474.04376155717205,647280.6075592128
1998-05-01,10367000.0,24.27,504.41018012521255,677950.5382896814
1998-06-01,10168000.0,21.59,509.2535457442215,678873.4422747493
1998-07-01,10351000.0,20.6,505.1705961501411,692422.9705063857
1998-08-01,10723000.0,21.16,495.10598833485807,689076.9284865563
1998-09-01,10510000.0,19.26,507.67557925780125,676145.6622267213
1998-10-01,10425000.0,20.2,512.6509414204753,696856.894349274
1998-11-01,10343000.0,21.14,523.4788182233161,690226.5884479055
1998-12-01,9815000.0,19.17,483.20831628199414,657675.3217030476
1999-01-01,9257000.0,18.94,503.2276468034838,633636.1639887898
1999-02-01,9441000.0,17.96,472.76760805412863,606644.7687147298
1999-03-01,9762000.0,17.3,461.23481269958484,652740.289849749
1999-04-01,10512000.0,20.0,448.4423970194123,644728.9179580796
1999-05-01,10215000.0,22.73,489.3665367037998,657870.4943595141
1999-06-01,10411000.0,22.3,499.1587700819462,669649.6122739932
1999-07-01,10467000.0,24.81,522.8172747479056,655457.9592093093
1999-08-01,10804000.0,26.51,519.0983069679708,653546.9585944135
1999-09-01,10750000.0,30.31,521.812236305634,632412.3004851746
1999-10-01,10742000.0,32.08,513.1476697145852,656715.9853992227
1999-11-01,10864000.0,33.47,495.63800786199926,665168.1431652367
1999-12-01,10667000.0,34.87,483.6596333229118,651868.2675313606
2000-01-01,10024000.0,35.44,483.25342585172757,604808.1805423076
2000-02-01,10388000.0,38.16,465.01401735839306,598404.2621009977
2000-03-01,10769000.0,41.46,473.1447256171751,602598.065900331
2000-04-01,10942000.0,41.44,480.7491413046648,593991.052781157
2000-05-01,10882000.0,38.12,506.0344401834568,637503.6588700329
2000-06-01,11216000.0,39.75,498.89745806212795,656954.3115780348
2000-07-01,11049000.0,40.38,497.87882776198467,646971.1243998358
2000-08-01,11271000.0,41.27,484.08002960423727,646266.5373242073
2000-09-01,11094000.0,44.84,501.6551117692864,612117.9083061407
2000-10-01,11350000.0,48.85,496.7524866384718,650253.319077266
2000-11-01,11422000.0,48.8,494.0245756813118,652129.5023416502
2000-12-01,10873000.0,47.83,490.13638925530455,636232.9188826651
2001-01-01,10426000.0,43.04,487.3160386498499,613267.2672016704
2001-02-01,10856000.0,41.21,479.41712952433716,605851.7119439133
2001-03-01,10892000.0,41.96,478.53265630305674,640479.050062885
2001-04-01,11307000.0,38.84,473.66633444915436,629043.1968990624
2001-05-01,11338000.0,38.96,516.608977247235,647422.6691351507
2001-06-01,10662000.0,39.74,526.509332301923,602226.1708467535
2001-07-01,9178000.0,39.28,540.455439314225,625430.5742139623
2001-08-01,9520000.0,35.02,528.3852796582626,632756.1028061273
2001-09-01,9586000.0,36.42,536.609367682617,606031.0234727694
2001-10-01,9566000.0,35.06,529.6986167145844,638246.0671196437
2001-11-01,9686000.0,32.73,538.8082945107188,642938.4542893707
2001-12-01,9521000.0,30.99,520.0306225626108,615295.1629846811
2002-01-01,9431000.0,31.52,535.6845601813837,610640.2597314483
2002-02-01,9919000.0,25.92,533.1780616378109,604673.7803037714
2002-03-01,10362000.0,27.37,525.9935618121244,641761.4795007854
2002-04-01,10762000.0,31.81,527.6533416865066,647745.1455317196
2002-05-01,10920000.0,33.8,560.5062076863018,657485.1830511456
2002-06-01,10898000.0,33.35,550.1103170578361,645570.5704014571
2002-07-01,10720000.0,34.67,543.2040224207782,650193.7006758845
2002-08-01,11024000.0,34.89,534.8725718024464,639927.2538282099
2002-09-01,10893000.0,36.04,529.1961016783746,610479.7816857115
2002-10-01,11000000.0,37.37,514.0995739997229,623209.836570478
2002-11-01,11040000.0,36.78,495.5798764016357,601389.4155821744
2002-12-01,10659000.0,37.05,463.96640351620454,560920.7267262237
2003-01-01,10345000.0,39.9,486.15865597176685,536092.818185557
2003-02-01,10471000.0,41.0,475.47256691675807,545113.3852613264
2003-03-01,10565000.0,44.86,471.6154954043017,566076.7968879411
2003-04-01,10850000.0,44.43,476.23143814383343,574730.8787768851
2003-05-01,10750000.0,41.52,545.7211315657551,571313.7796894121
2003-06-01,10788000.0,39.1,558.7175485820633,568696.1710300577
2003-07-01,10818000.0,39.08,563.613185462403,602777.2332784432
2003-08-01,10793000.0,40.5,571.9947135701008,594338.5199813012
2003-09-01,10855000.0,41.64,571.0401431426154,603353.8979657555
2003-10-01,11215000.0,40.5,566.3206796309368,626452.4909905655
2003-11-01,11251000.0,42.16,572.7733019561896,618302.8127126392
2003-12-01,11531000.0,44.67,543.0063502969856,615243.1603222169
2004-01-01,12009000.0,46.99,562.2085289306858,573680.2610208766
2004-02-01,12141000.0,51.41,596.0125422301757,560886.9532521856
2004-03-01,12608000.0,51.23,546.5568444037552,612131.1401956525
2004-04-01,12887000.0,50.32,557.335478885733,603596.470298924
2004-05-01,12833000.0,57.94,611.5966674377156,604557.2228132774
2004-06-01,13108000.0,59.39,599.6542146566993,618723.8579798517
2004-07-01,13307000.0,68.11,600.9865245917773,634055.5072036734
2004-08-01,13592000.0,69.62,604.5134151667452,617851.4681507773
2004-09-01,13461000.0,66.54,605.0243395028314,598629.9636130636
2004-10-01,13535000.0,71.71,611.5406579658596,616566.4975263726
2004-11-01,13448000.0,72.52,609.8164852169323,634448.6781696221
2004-12-01,13392000.0,71.3,584.89477133061,636663.7652270211
2005-01-01,12651000.0,67.09,621.6196028183755,581509.5492681484
2005-02-01,12747000.0,62.86,625.2296156282065,569139.9611351475
2005-03-01,13065000.0,63.32,616.2126074443185,615347.1102541602
2005-04-01,13374000.0,69.97,621.760426329082,618192.1416942736
2005-05-01,13292000.0,79.65,687.3590391071125,620852.7550804381
2005-06-01,13140000.0,73.61,696.3093173870373,635553.2389365196
2005-07-01,13430000.0,71.66,689.4143071942914,649365.8848955685
2005-08-01,13755000.0,77.74,697.2085894375684,665819.051476332
2005-09-01,13701000.0,83.51,717.076706790291,646363.6531686125
2005-10-01,13512000.0,87.56,721.9685329399084,669363.2469504946
2005-11-01,13445000.0,86.17,720.7265981406271,686950.798673128
2005-12-01,13550000.0,82.05,694.0072069511342,699458.2449056895
2006-01-01,12851000.0,79.81,711.3112123200585,649269.382394939
2006-02-01,13044000.0,80.57,694.6951207781934,624863.1169385748
2006-03-01,13382000.0,77.92,698.770499358729,668978.9114981305
2006-04-01,13532000.0,82.51,708.4966129054054,650587.0627743414
2006-05-01,13407000.0,91.78,770.3895874592291,693113.0341539993
2006-06-01,13569000.0,91.63,751.9199078138903,692667.111348975
2006-07-01,13697000.0,93.49,764.1605435598832,718941.5180114434
2006-08-01,14164000.0,99.53,763.1366708788416,725843.025200803
2006-09-01,13825000.0,95.37,769.8762204326978,693864.4689997128
2006-10-01,13953000.0,89.41,761.592138282979,733533.7616343984
2006-11-01,13990000.0,84.46,764.2929692041673,747936.5108429515
2006-12-01,13767000.0,84.26,727.0278686294736,751548.3308605199
2007-01-01,13592000.0,85.38,739.6920248555335,713751.5538663196
2007-02-01,13684000.0,83.97,717.9197286824229,683691.9742620097
2007-03-01,14276000.0,86.43,716.9613330378895,732285.2509075856
2007-04-01,14511000.0,89.98,715.2811275571029,722993.7083989274
2007-05-01,14558000.0,98.92,768.1758862555834,760120.6266788506
2007-06-01,14582000.0,98.31,776.3436538556732,766351.1422609357
2007-07-01,14569000.0,102.75,769.1537965807241,779649.3019965237
2007-08-01,14860000.0,105.34,755.8114928734906,772890.6594205267
2007-09-01,14866000.0,102.98,729.5445202817888,724891.9405840634
2007-10-01,14952000.0,111.03,729.7408305383259,780593.0755274019
2007-11-01,15025000.0,117.34,715.9419634092192,772478.8215024717
2007-12-01,14893000.0,131.24,670.0428702863721,762929.7951551178
2008-01-01,13793000.0,126.97,665.8546116428975,739209.8675819678
2008-02-01,13967000.0,127.13,645.5639823261247,722234.7077945896
2008-03-01,14655000.0,135.42,646.1420643684075,746324.399755571
2008-04-01,14525000.0,142.08,632.4673330011868,758388.2144236692
2008-05-01,14791000.0,157.37,640.8479168960824,762773.8330022115
2008-06-01,14781000.0,166.76,633.7608755997396,780498.5872035011
2008-07-01,15154000.0,183.04,621.8237629713477,807585.625109571
2008-08-01,15412000.0,179.45,629.6868105756085,784838.69951961
2008-09-01,15180000.0,172.48,630.5888620819021,770508.3940785736
2008-10-01,15386000.0,149.1,625.4083660712694,806021.7784888919
2008-11-01,14773000.0,125.12,639.565016007233,777251.3886014405
2008-12-01,13417000.0,112.07,622.8722732619342,762534.7204403006
2009-01-01,11924000.0,108.42,644.2550452194038,720730.4911721611
2009-02-01,12337000.0,85.95,626.5101526782032,704604.224257551
2009-03-01,13049000.0,72.99,626.9545590264128,763444.8468001245
2009-04-01,13200000.0,69.2,627.5101491057345,755518.7231569422
2009-05-01,12976000.0,78.89,684.8125158650336,779614.8482616515
2009-06-01,13217000.0,86.58,677.9700368025676,803620.8749872075
2009-07-01,13611000.0,92.96,679.3098112100929,837379.2465467794
2009-08-01,14061000.0,91.86,689.2132243655351,833097.9900792709
2009-09-01,14227000.0,97.01,687.5415589664475,827855.5840730919
2009-10-01,14552000.0,92.3,689.295476364246,882992.2001491605
2009-11-01,14415000.0,101.85,687.4752595187425,891589.7630908197
2009-12-01,14229000.0,107.47,657.8218526464141,917366.4825913516
2010-01-01,13425000.0,104.75,662.1943222249438,837078.7832108295
2010-02-01,14078000.0,108.7,639.4052844523501,818741.2603788113
2010-03-01,14766000.0,109.21,637.0340273878708,887448.2961513255
2010-04-01,14921000.0,112.69,635.3461132529615,868189.3694348322
