date,demanda_energia,tarifa_energia_real,pib_real,importacoes_petroleo,d_2001,d_2006,d_2008,d_2020
1997-01-01,9455000.0,467.3775374394644,661215.6892824988,34.3,0,0,0,0
1997-02-01,9840000.0,450.90733514520167,603200.9659940116,40.08,0,0,0,0
1997-03-01,9488000.0,458.2264390291839,591156.2465694603,34.76,0,0,0,0
1997-04-01,9945000.0,458.3279138156926,613668.0442922383,33.11,0,0,0,0
1997-05-01,10304000.0,514.7551777294772,649538.8424147831,34.56,0,0,0,0
1997-06-01,10045000.0,518.9314060538958,670553.5035242324,31.71,0,0,0,0
1997-07-01,10285000.0,510.41951514932674,677015.3472768269,30.2,0,0,0,0
1997-08-01,10685000.0,506.23209535816665,677895.3833752214,27.46,0,0,0,0
1997-09-01,10441000.0,511.4795788414426,672727.8546775746,29.7,0,0,0,0
1997-10-01,10567000.0,509.6347841906161,713869.8552655284,31.44,0,0,0,0
1997-11-01,10727000.0,508.4971460772852,692526.6393972234,31.18,0,0,0,0
1997-12-01,9935000.0,489.83646457869474,654166.7936668764,32.08,0,0,0,0
1998-01-01,9545000.0,483.2215199264355,633666.2093084531,32.31,0,0,0,0
1998-02-01,9722000.0,483.6883940956791,605314.2129699897,27.06,0,0,0,0
1998-03-01,9609000.0,482.5784668150909,641203.3473762773,24.7,0,0,0,0
1998-04-01,10400000.0,474.0437615571721,647280.6075592128,21.95,0,0,0,0
1998-05-01,10367000.0,504.41018012521255,677950.5382896814,24.27,0,0,0,0
1998-06-01,10168000.0,509.2535457442215,678873.4422747493,21.59,0,0,0,0
1998-07-01,10351000.0,505.1705961501411,692422.9705063857,20.6,0,0,0,0
1998-08-01,10723000.0,495.10598833485807,689076.9284865563,21.16,0,0,0,0
1998-09-01,10510000.0,507.6755792578013,676145.6622267213,19.26,0,0,0,0
1998-10-01,10425000.0,512.6509414204753,696856.894349274,20.2,0,0,0,0
1998-11-01,10343000.0,523.4788182233161,690226.5884479055,21.14,0,0,0,0
1998-12-01,9815000.0,483.2083162819941,657675.3217030476,19.17,0,0,0,0
1999-01-01,9257000.0,503.2276468034838,633636.1639887898,18.94,0,0,0,0
1999-02-01,9441000.0,472.76760805412863,606644.7687147298,17.96,0,0,0,0
1999-03-01,9762000.0,461.2348126995848,652740.289849749,17.3,0,0,0,0
1999-04-01,10512000.0,448.4423970194123,644728.9179580796,20.0,0,0,0,0
1999-05-01,10215000.0,489.3665367037998,657870.4943595141,22.73,0,0,0,0
1999-06-01,10411000.0,499.1587700819462,669649.6122739932,22.3,0,0,0,0
1999-07-01,10467000.0,522.8172747479056,655457.9592093093,24.81,0,0,0,0
1999-08-01,10804000.0,519.0983069679708,653546.9585944135,26.51,0,0,0,0
1999-09-01,10750000.0,521.812236305634,632412.3004851746,30.31,0,0,0,0
1999-10-01,10742000.0,513.1476697145852,656715.9853992227,32.08,0,0,0,0
1999-11-01,10864000.0,495.63800786199926,665168.1431652367,33.47,0,0,0,0
1999-12-01,10667000.0,483.6596333229118,651868.2675313606,34.87,0,0,0,0
2000-01-01,10024000.0,483.2534258517276,604808.1805423076,35.44,0,0,0,0
2000-02-01,10388000.0,465.01401735839306,598404.2621009977,38.16,0,0,0,0
2000-03-01,10769000.0,473.1447256171751,602598.065900331,41.46,0,0,0,0
2000-04-01,10942000.0,480.7491413046648,593991.052781157,41.44,0,0,0,0
2000-05-01,10882000.0,506.0344401834568,637503.6588700329,38.12,0,0,0,0
2000-06-01,11216000.0,498.897458062128,656954.3115780348,39.75,0,0,0,0
2000-07-01,11049000.0,497.8788277619847,646971.1243998358,40.38,0,0,0,0
2000-08-01,11271000.0,484.08002960423727,646266.5373242073,41.27,0,0,0,0
2000-09-01,11094000.0,501.6551117692864,612117.9083061407,44.84,0,0,0,0
2000-10-01,11350000.0,496.7524866384718,650253.319077266,48.85,0,0,0,0
2000-11-01,11422000.0,494.0245756813118,652129.5023416502,48.8,0,0,0,0
2000-12-01,10873000.0,490.13638925530455,636232.9188826651,47.83,0,0,0,0
2001-01-01,10426000.0,487.3160386498499,613267.2672016704,43.04,0,0,0,0
2001-02-01,10856000.0,479.4171295243372,605851.7119439133,41.21,0,0,0,0
2001-03-01,10892000.0,478.5326563030568,640479.050062885,41.96,0,0,0,0
2001-04-01,11307000.0,473.6663344491544,629043.1968990624,38.84,0,0,0,0
2001-05-01,11338000.0,516.608977247235,647422.6691351507,38.96,0,0,0,0
2001-06-01,10662000.0,526.509332301923,602226.1708467535,39.74,0,0,0,0
2001-07-01,9178000.0,540.455439314225,625430.5742139623,39.28,1,0,0,0
2001-08-01,9520000.0,528.3852796582626,632756.1028061273,35.02,0,0,0,0
